n,db_id_1,db_id_2,rmsd,tm_score,q_score,ssap_score,search_mode,search_type
1,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0C9SEP5-F1-model_v3,0,0000,1,0000,top_aligned,contained_in
2,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0K8TUC7-F1-model_v3,0,8475,0,9614,top_aligned,contained_in
3,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIW6-F1-model_v3,2,1272,0,8378,top_aligned,contained_in
4,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291C1Q5-F1-model_v3,2,7377,0,8072,top_aligned,contained_in
5,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291C2D4-F1-model_v3,2,1609,0,8056,top_aligned,contained_in
6,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291C1P8-F1-model_v3,2,4565,0,7943,top_aligned,contained_in
7,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVU6-F1-model_v3,2,6336,0,7921,top_aligned,contained_in
8,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291C297-F1-model_v3,3,1156,0,7765,top_aligned,contained_in
9,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIV9-F1-model_v3,2,8491,0,7748,top_aligned,contained_in
10,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVV2-F1-model_v3,2,3727,0,7684,top_aligned,contained_in
11,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVV0-F1-model_v3,1,7066,0,7661,top_aligned,contained_in
12,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0C9RYD4-F1-model_v3,1,9058,0,7554,top_aligned,contained_in
13,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIY7-F1-model_v3,2,9499,0,7551,top_aligned,contained_in
14,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVV7-F1-model_v3,1,9202,0,7539,top_aligned,contained_in
15,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIK2-F1-model_v3,2,7855,0,7521,top_aligned,contained_in
16,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0C9SFM5-F1-model_v3,2,0355,0,7486,top_aligned,contained_in
17,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291C2A7-F1-model_v3,2,9321,0,7457,top_aligned,contained_in
18,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIY6-F1-model_v3,2,9200,0,7426,top_aligned,contained_in
19,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVT6-F1-model_v3,2,3075,0,7304,top_aligned,contained_in
20,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0C9S5X0-F1-model_v3,2,4447,0,7203,top_aligned,contained_in
21,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVW0-F1-model_v3,2,1618,0,7005,top_aligned,contained_in
22,AF-A0A0C9SEP5-F1-model_v3,AF-A0A4Y5X1A7-F1-model_v3,2,0401,0,7002,top_aligned,contained_in
23,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0K8TTS0-F1-model_v3,2,3365,0,6760,top_aligned,contained_in
24,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0C9RYL1-F1-model_v3,2,4176,0,6698,top_aligned,contained_in
25,AF-A0A0C9SEP5-F1-model_v3,AF-A0A5P8I0Y4-F1-model_v3,2,5499,0,6691,top_aligned,contained_in
26,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVU9-F1-model_v3,2,5367,0,6684,top_aligned,contained_in
27,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CJ19-F1-model_v3,2,6305,0,6667,top_aligned,contained_in
28,AF-A0A0C9SEP5-F1-model_v3,AF-A0A679PMU5-F1-model_v3,2,5453,0,5300,top_aligned,contained_in
29,AF-A0A0C9SEP5-F1-model_v3,AF-A0A679PF37-F1-model_v3,1,4132,0,5277,top_aligned,contained_in
30,AF-A0A0C9SEP5-F1-model_v3,AF-A0A679P9B4-F1-model_v3,1,5862,0,5209,top_aligned,contained_in
31,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291NVW3-F1-model_v3,2,5008,0,5120,top_aligned,contained_in
32,AF-A0A0C9SEP5-F1-model_v3,AF-A6YR20-F1-model_v3,3,8742,0,3542,top_aligned,contained_in
33,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIJ6-F1-model_v3,4,6551,0,3319,top_aligned,contained_in
34,AF-A0A0C9SEP5-F1-model_v3,AF-P0C1W6-F1-model_v3,4,8013,0,3309,top_aligned,contained_in
35,AF-A0A0C9SEP5-F1-model_v3,AF-Q9XZK3-F1-model_v3,4,0934,0,3249,top_aligned,contained_in
36,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0C9SEK9-F1-model_v3,4,8049,0,3238,top_aligned,contained_in
37,AF-A0A0C9SEP5-F1-model_v3,AF-A0A5C1ZXT8-F1-model_v3,4,4563,0,3221,top_aligned,contained_in
38,AF-A0A0C9SEP5-F1-model_v3,AF-S4UK97-F1-model_v3,4,4663,0,3202,top_aligned,contained_in
39,AF-A0A0C9SEP5-F1-model_v3,AF-E2DEL0-F1-model_v3,4,0458,0,3184,top_aligned,contained_in
40,AF-A0A0C9SEP5-F1-model_v3,AF-P0C1W3-F1-model_v3,4,0606,0,3183,top_aligned,contained_in
41,AF-A0A0C9SEP5-F1-model_v3,AF-A0A384E129-F1-model_v3,3,4033,0,3156,top_aligned,contained_in
42,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1B3IIY3-F1-model_v3,4,1056,0,3142,top_aligned,contained_in
43,AF-A0A0C9SEP5-F1-model_v3,AF-Q9BPK0-F1-model_v3,3,0469,0,3141,top_aligned,contained_in
44,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1B3IIZ6-F1-model_v3,4,5172,0,3141,top_aligned,contained_in
45,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1B3IIZ4-F1-model_v3,4,5101,0,3138,top_aligned,contained_in
46,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKQ1-F1-model_v3,3,8195,0,3123,top_aligned,contained_in
47,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0C9S5R2-F1-model_v3,4,0631,0,3121,top_aligned,contained_in
48,AF-A0A0C9SEP5-F1-model_v3,AF-C3VVN6-F1-model_v3,4,6729,0,3099,top_aligned,contained_in
49,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKR7-F1-model_v3,4,0290,0,3091,top_aligned,contained_in
50,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1B3IIY1-F1-model_v3,4,6011,0,3072,top_aligned,contained_in
51,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1B3IJ03-F1-model_v3,3,8468,0,3072,top_aligned,contained_in
52,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0B5A8P4-F1-model_v3,4,1223,0,3062,top_aligned,contained_in
53,AF-A0A0C9SEP5-F1-model_v3,AF-A0A5C2A2T2-F1-model_v3,4,5683,0,3060,top_aligned,contained_in
54,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1B3IIX1-F1-model_v3,4,1126,0,3058,top_aligned,contained_in
55,AF-A0A0C9SEP5-F1-model_v3,AF-A0A142C1B2-F1-model_v3,3,9644,0,3052,top_aligned,contained_in
56,AF-A0A0C9SEP5-F1-model_v3,AF-Q9BPJ2-F1-model_v3,3,7280,0,3037,top_aligned,contained_in
57,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CID9-F1-model_v3,4,4074,0,3032,top_aligned,contained_in
58,AF-A0A0C9SEP5-F1-model_v3,AF-P0C1N8-F1-model_v3,3,5983,0,3031,top_aligned,contained_in
59,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKH1-F1-model_v3,3,7999,0,3030,top_aligned,contained_in
60,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKM6-F1-model_v3,3,5527,0,3007,top_aligned,contained_in
61,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0K8TTI4-F1-model_v3,4,6657,0,3006,top_aligned,contained_in
62,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKM7-F1-model_v3,3,5171,0,3001,top_aligned,contained_in
63,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIY9-F1-model_v3,4,8628,0,2997,top_aligned,contained_in
64,AF-A0A0C9SEP5-F1-model_v3,AF-H2BK11-F1-model_v3,3,9792,0,2990,top_aligned,contained_in
65,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0K8TTI7-F1-model_v3,4,7827,0,2975,top_aligned,contained_in
66,AF-A0A0C9SEP5-F1-model_v3,AF-Q9BPJ9-F1-model_v3,3,3907,0,2968,top_aligned,contained_in
67,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKJ9-F1-model_v3,3,4606,0,2967,top_aligned,contained_in
68,AF-A0A0C9SEP5-F1-model_v3,AF-Q9BPI8-F1-model_v3,3,9762,0,2967,top_aligned,contained_in
69,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKM8-F1-model_v3,3,5784,0,2967,top_aligned,contained_in
70,AF-A0A0C9SEP5-F1-model_v3,AF-A0A291C2M5-F1-model_v3,3,9360,0,2965,top_aligned,contained_in
71,AF-A0A0C9SEP5-F1-model_v3,AF-C3VVN5-F1-model_v3,3,9725,0,2963,top_aligned,contained_in
72,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CJF9-F1-model_v3,4,7106,0,2960,top_aligned,contained_in
73,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1Y0F4E9-F1-model_v3,4,4569,0,2950,top_aligned,contained_in
74,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKP2-F1-model_v3,3,4173,0,2945,top_aligned,contained_in
75,AF-A0A0C9SEP5-F1-model_v3,AF-C4PWC4-F1-model_v3,4,3747,0,2935,top_aligned,contained_in
76,AF-A0A0C9SEP5-F1-model_v3,AF-W4VS51-F1-model_v3,3,4971,0,2933,top_aligned,contained_in
77,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKV8-F1-model_v3,3,1154,0,2932,top_aligned,contained_in
78,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKU4-F1-model_v3,4,0253,0,2932,top_aligned,contained_in
79,AF-A0A0C9SEP5-F1-model_v3,AF-Q9BPC9-F1-model_v3,4,3209,0,2927,top_aligned,contained_in
80,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKS0-F1-model_v3,4,1191,0,2923,top_aligned,contained_in
81,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKR0-F1-model_v3,3,9374,0,2923,top_aligned,contained_in
82,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKN0-F1-model_v3,3,5230,0,2922,top_aligned,contained_in
83,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIJ8-F1-model_v3,4,5988,0,2917,top_aligned,contained_in
84,AF-A0A0C9SEP5-F1-model_v3,AF-A0A1B3IIZ9-F1-model_v3,4,5216,0,2914,top_aligned,contained_in
85,AF-A0A0C9SEP5-F1-model_v3,AF-A0A142C1N1-F1-model_v3,3,3070,0,2912,top_aligned,contained_in
86,AF-A0A0C9SEP5-F1-model_v3,AF-Q3YEG2-F1-model_v3,2,9718,0,2903,top_aligned,contained_in
87,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKV9-F1-model_v3,3,4180,0,2902,top_aligned,contained_in
88,AF-A0A0C9SEP5-F1-model_v3,AF-A0A5C1ZW08-F1-model_v3,3,8758,0,2900,top_aligned,contained_in
89,AF-A0A0C9SEP5-F1-model_v3,AF-A0A346CIZ3-F1-model_v3,4,8551,0,2896,top_aligned,contained_in
90,AF-A0A0C9SEP5-F1-model_v3,AF-U6BZK6-F1-model_v3,4,7998,0,2896,top_aligned,contained_in
91,AF-A0A0C9SEP5-F1-model_v3,AF-H2BKS8-F1-model_v3,4,3817,0,2888,top_aligned,contained_in
92,AF-A0A0C9SEP5-F1-model_v3,AF-A0A0K8TUG5-F1-model_v3,4,7100,0,2886,top_aligned,contained_in
93,AF-A0A0C9SEP5-F1-model_v3,AF-W4VRZ0-F1-model_v3,3,5942,0,2881,top_aligned,contained_in
94,AF-A0A0C9SEP5-F1-model_v3,AF-A0A142C1N2-F1-model_v3,3,0384,0,2873,top_aligned,contained_in
